"";"UF";"ETAPA";"COR";"taxa_pd";"se.pd"
"181";"Roraima";"Regular do ensino médio";"Branca";0,210382394142071;0,0338203244473768
"182";"Roraima";"Regular do ensino médio";"Negra";0,728143262940531;0,0374292512541529
"183";"Roraima";"Regular do ensino médio";"Outros";0,0614743429173978;0,0213697694143827
"184";"Pará";"Regular do ensino médio";"Branca";0,204012813817081;0,0185148874004066
"185";"Pará";"Regular do ensino médio";"Negra";0,775166959674485;0,0211078091473602
"186";"Pará";"Regular do ensino médio";"Outros";0,0208202265084339;0,00771193964485132
"187";"Amapá";"Regular do ensino médio";"Branca";0,206617464607257;0,0327878080588705
"188";"Amapá";"Regular do ensino médio";"Negra";0,793382535392743;0,0327878080588705
"189";"Amapá";"Regular do ensino médio";"Outros";0;0
"190";"Tocantins";"Regular do ensino médio";"Branca";0,169258878450943;0,029358495792489
"191";"Tocantins";"Regular do ensino médio";"Negra";0,818287302045797;0,0280579368488427
"192";"Tocantins";"Regular do ensino médio";"Outros";0,0124538195032602;0,00680939313931613
"193";"Maranhão";"Regular do ensino médio";"Branca";0,164409432792494;0,0123310942479672
"194";"Maranhão";"Regular do ensino médio";"Negra";0,832163991739395;0,012336015646281
"195";"Maranhão";"Regular do ensino médio";"Outros";0,00342657546811113;0,00143783963492987
"196";"Piauí";"Regular do ensino médio";"Branca";0,180670281834211;0,0229331969076834
"197";"Piauí";"Regular do ensino médio";"Negra";0,816756468869065;0,0229419248313494
"198";"Piauí";"Regular do ensino médio";"Outros";0,00257324929672463;0,00232838558465605
"199";"Ceará";"Regular do ensino médio";"Branca";0,284787697503422;0,0175477921021194
"200";"Ceará";"Regular do ensino médio";"Negra";0,710198205178075;0,0177776477478178
"201";"Ceará";"Regular do ensino médio";"Outros";0,00501409731850322;0,00258545918323961
"202";"Rio Grande do Norte";"Regular do ensino médio";"Branca";0,411479458833982;0,0318641462585738
"203";"Rio Grande do Norte";"Regular do ensino médio";"Negra";0,582985542805771;0,0320815442051516
"204";"Rio Grande do Norte";"Regular do ensino médio";"Outros";0,00553499836024717;0,00497255277031919
"205";"Paraíba";"Regular do ensino médio";"Branca";0,313297783985795;0,0283567910817959
"206";"Paraíba";"Regular do ensino médio";"Negra";0,686702216014205;0,0283567910817959
"207";"Paraíba";"Regular do ensino médio";"Outros";0;0
"208";"Pernambuco";"Regular do ensino médio";"Branca";0,328220549696621;0,0215468681446769
"209";"Pernambuco";"Regular do ensino médio";"Negra";0,651229201424532;0,0210754691196844
"210";"Pernambuco";"Regular do ensino médio";"Outros";0,020550248878847;0,00701809021057844
"211";"Alagoas";"Regular do ensino médio";"Branca";0,256618106006691;0,0175880301002972
"212";"Alagoas";"Regular do ensino médio";"Negra";0,727044262669271;0,0184570692803757
"213";"Alagoas";"Regular do ensino médio";"Outros";0,016337631324038;0,00516384696850701
