"";"UF";"ETAPA";"COR";"total_pd";"se.pd"
"212";"Alagoas";"Regular do ensino médio";"Negra";107637,28273065;5182,04456462871
"213";"Alagoas";"Regular do ensino médio";"Outros";2418,74990598;766,456963986817
"214";"Sergipe";"Regular do ensino médio";"Branca";15026,13501607;2320,32463829685
"215";"Sergipe";"Regular do ensino médio";"Negra";73570,48898234;4856,26559045859
"216";"Sergipe";"Regular do ensino médio";"Outros";973,23832109;751,162948144906
"217";"Bahia";"Regular do ensino médio";"Branca";107090,68855764;11707,0937923339
"218";"Bahia";"Regular do ensino médio";"Negra";544776,76345798;23913,8751212156
"219";"Bahia";"Regular do ensino médio";"Outros";5024,38429311;2520,50479671819
"220";"Minas Gerais";"Regular do ensino médio";"Branca";279336,72713606;15639,1896015164
"221";"Minas Gerais";"Regular do ensino médio";"Negra";550933,73769823;23408,0764092104
"222";"Minas Gerais";"Regular do ensino médio";"Outros";1283,18953085;920,940193424515
"223";"Espírito Santo";"Regular do ensino médio";"Branca";40574,28725308;3389,02059402994
"224";"Espírito Santo";"Regular do ensino médio";"Negra";78126,17404733;5187,43658423343
"225";"Espírito Santo";"Regular do ensino médio";"Outros";637,48340544;410,053452847036
"226";"Rio de Janeiro";"Regular do ensino médio";"Branca";265055,05577048;14213,1565677916
"227";"Rio de Janeiro";"Regular do ensino médio";"Negra";384726,37293717;22988,2547798428
"228";"Rio de Janeiro";"Regular do ensino médio";"Outros";1486,22254475;913,39643836849
"229";"São Paulo";"Regular do ensino médio";"Branca";910284,50187359;39606,7435370306
"230";"São Paulo";"Regular do ensino médio";"Negra";750089,58213824;43230,5396337881
"231";"São Paulo";"Regular do ensino médio";"Outros";15734,44597821;5034,81398706066
"232";"Paraná";"Regular do ensino médio";"Branca";251532,79134626;13273,4002628759
"233";"Paraná";"Regular do ensino médio";"Negra";160709,77071633;10373,6015240981
"234";"Paraná";"Regular do ensino médio";"Outros";4741,38974325;1765,86140935807
"235";"Santa Catarina";"Regular do ensino médio";"Branca";214645,17905616;14077,6970780756
"236";"Santa Catarina";"Regular do ensino médio";"Negra";53065,0629079;4292,97710523982
"237";"Santa Catarina";"Regular do ensino médio";"Outros";889,5543129;541,624978018283
"238";"Rio Grande do Sul";"Regular do ensino médio";"Branca";282420,04420441;13747,1873980511
"239";"Rio Grande do Sul";"Regular do ensino médio";"Negra";91193,69638153;8239,39864342978
"240";"Rio Grande do Sul";"Regular do ensino médio";"Outros";1076,48888735;857,792200010321
"241";"Mato Grosso do Sul";"Regular do ensino médio";"Branca";42017,88805413;3520,29985834772
"242";"Mato Grosso do Sul";"Regular do ensino médio";"Negra";61647,49209083;4859,5814371375
"243";"Mato Grosso do Sul";"Regular do ensino médio";"Outros";1740,54395428;889,551840980521
"244";"Mato Grosso";"Regular do ensino médio";"Branca";32104,81437545;3388,61632747404
"245";"Mato Grosso";"Regular do ensino médio";"Negra";104374,45758262;6573,36113808108
"246";"Mato Grosso";"Regular do ensino médio";"Outros";2938,80063785;1228,52991731952
"247";"Goiás";"Regular do ensino médio";"Branca";95256,03287666;7772,52099686955
"248";"Goiás";"Regular do ensino médio";"Negra";192391,67936741;12119,7927315337
"249";"Goiás";"Regular do ensino médio";"Outros";2929,67046888;1213,62351722849
"250";"Distrito Federal";"Regular do ensino médio";"Branca";53672,05582738;6062,26369033908
"251";"Distrito Federal";"Regular do ensino médio";"Negra";81201,4726927;5640,79649162868
"252";"Distrito Federal";"Regular do ensino médio";"Outros";837,40577252;558,628494069068
